,player_id,last_season,current_club_id,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,agent_name,domestic_competition_id,goals,assists,minutes_played,yellow_cards,red_cards,total_appearance,market_value_usd
13308,13308,2021.0,2503.0,Venezuela,Venezuela,2002-06-18,Attack,Centre-Forward,Right,190.0,IST,PO1,2,0,244.0,8,0,21,553500.0
7730,7730,2021.0,449.0,Turkey,Turkey,1999-06-25,Attack,Attacking Midfield,Left,168.0,Ergezen Menajerlik & Danışmanl,TR1,20,25,9286.0,6,0,136,11623500.0
8110,8110,2021.0,749.0,Italy,Italy,1996-10-07,Goalkeeper,,Right,194.0,GG11 s.r.l.,IT1,0,1,4140.0,1,0,46,5535000.0
5209,5209,2021.0,79.0,Germany,Germany,1995-02-04,Attack,Attacking Midfield,Left,188.0,ROOF,L1,5,2,2652.0,8,0,48,2767500.0
13193,13193,2020.0,868.0,Turkey,Turkey,2001-02-19,Goalkeeper,,Right,189.0,,TR1,0,0,90.0,0,0,1,83640.0
13371,13371,2021.0,5817.0,United States,United States,2001-09-22,Attack,Attacking Midfield,Right,176.0,,DK1,0,0,128.0,0,0,5,387450.0
5582,5582,2021.0,5724.0,Sweden,Sweden,1992-01-08,Goalkeeper,,Right,189.0,HCM Sports Management,DK1,0,0,9929.0,4,1,111,1107000.0
9669,9669,2016.0,294.0,Brazil,Brazil,1995-01-02,Defender,Left-Back,Left,177.0,,PO1,1,1,2167.0,5,0,28,442800.0
125,125,2019.0,2722.0,Brazil,Brazil,1984-07-31,Defender,Centre-Back,Left,,,IT1,7,3,,51,2,153,83640.0
5951,5951,2018.0,660.0,Ukraine,Ukraine,1994-03-13,Attack,Left Winger,Right,171.0,ProStar,UKR1,12,11,,13,0,94,2214000.0
1333,1333,2020.0,4171.0,Italy,Italy,1987-05-30,Midfield,Defensive Midfield,Right,177.0,PLAYER MANAGEMENT SRL,IT1,2,9,6358.0,37,2,92,885600.0
3791,3791,2021.0,2441.0,Bosnia-Herzegovina,Austria,1992-11-04,Goalkeeper,,Right,186.0,HAGMAYR Sportmanagement,GR1,0,0,1290.0,0,0,14,2214000.0
